tconst,nconst,category,characters,name,primaryTitle
tt0870111,nm0532193,actor,"[""John Birt""]",Matthew Macfadyen,Frost/Nixon
tt0870111,nm0429363,actor,"[""Swifty Lazar""]",Toby Jones,Frost/Nixon
tt0870984,nm0000353,actor,"[""He""]",Willem Dafoe,Antichrist
tt0876563,nm0000949,actress,"[""Gran Mamare""]",Cate Blanchett,Ponyo
tt0878700,nm0001172,actor,"[""Henry""]",Christopher Eccleston,"New Orleans, Mon Amour"
tt0881891,nm0177896,actor,"[""Steve""]",Bradley Cooper,All About Steve
tt0882977,nm0000973,actor,"[""Juan Carlos 'El Topo' Pintera""]",Benjamin Bratt,Snitch
tt0884224,nm0000673,actress,"[""Natalie Hegalhuzen""]",Marisa Tomei,"War, Inc."
tt0886531,nm1157048,actor,"[""Ray Rehman""]",Zachary Levi,Shades of Ray
tt0887883,nm0842770,actress,"[""Katie Cox""]",Tilda Swinton,Burn After Reading
tt0887912,nm0719637,actor,"[""Staff Sergeant William James""]",Jeremy Renner,The Hurt Locker
tt0887912,nm1107001,actor,"[""Sergeant JT Sanborn""]",Anthony Mackie,The Hurt Locker
tt0887912,nm1431940,actress,"[""Connie James""]",Evangeline Lilly,The Hurt Locker
tt0889573,nm0000156,actor,"[""Leonard""]",Jeff Goldblum,The Switch
tt0892782,nm0748620,actor,"[""Derek Dietl""]",Paul Rudd,Monsters vs. Aliens
tt0892899,nm0829032,actor,"[""DC""]",Ray Stevenson,Outpost
tt0896031,nm0262635,actor,"[""Jimmy""]",Chris Evans,The Loss of a Teardrop Diamond
tt0896872,nm0001838,actress,"[""Kathryn Bolkovac""]",Rachel Weisz,The Whistleblower
tt0896923,nm0000164,actor,"[""Adam""]",Anthony Hopkins,The City of Your Final Destination
tt0899106,nm0339460,actress,"[""Marty""]",Judy Greer,Love Happens
tt0899128,nm0134072,actor,"[""Shanks""]",Bobby Cannavale,100 Feet
tt0899154,nm0915989,actor,"[""Vincent""]",Hugo Weaving,The Key Man
tt0899154,nm0339460,actress,"[""Karen""]",Judy Greer,The Key Man
