source;source_name;target;target_name;relationship;type
nm0005351;Ryan Reynolds;nm0671567;Michael Peña;-1;undirected
nm0000168;Samuel L. Jackson;nm0671567;Michael Peña;-1;undirected
nm0004937;Jamie Foxx;nm0272173;Colm Feore;-1;undirected
nm0004937;Jamie Foxx;nm0272173;Colm Feore;-1;undirected
nm0749263;Mark Ruffalo;nm0000474;Michael Keaton;-1;undirected
nm0749263;Mark Ruffalo;nm1046097;Rachel McAdams;-1;undirected
nm0749263;Mark Ruffalo;nm0805476;John Slattery;-1;undirected
nm0749263;Mark Ruffalo;nm0001804;Stanley Tucci;-1;undirected
nm0000474;Michael Keaton;nm1046097;Rachel McAdams;-1;undirected
nm0000474;Michael Keaton;nm0805476;John Slattery;-1;undirected
nm0000474;Michael Keaton;nm0001804;Stanley Tucci;-1;undirected
nm1046097;Rachel McAdams;nm0805476;John Slattery;-1;undirected
nm1046097;Rachel McAdams;nm0001804;Stanley Tucci;-1;undirected
nm0805476;John Slattery;nm0001804;Stanley Tucci;-1;undirected
nm0005377;Sam Rockwell;nm0836121;Michael Stuhlbarg;-1;undirected
nm0647634;Elizabeth Olsen;nm0163988;Clark Gregg;-1;undirected
nm0749263;Mark Ruffalo;nm0000569;Gwyneth Paltrow;-1;undirected
nm0000128;Russell Crowe;nm0000164;Anthony Hopkins;-1;undirected
nm0000128;Russell Crowe;nm0935653;Ray Winstone;-1;undirected
nm0000164;Anthony Hopkins;nm0935653;Ray Winstone;-1;undirected
nm0005351;Ryan Reynolds;nm0000168;Samuel L. Jackson;-1;undirected
nm0252961;Idris Elba;nm0004753;Leslie Bibb;-1;undirected
nm0269463;Jon Favreau;nm1939267;Tip 'T.I.' Harris;-1;undirected
nm1015684;Corey Stoll;nm2143282;Lupita Nyong'o;-1;undirected
nm0000474;Michael Keaton;nm0000353;Willem Dafoe;-1;undirected
nm0000204;Natalie Portman;nm0000949;Cate Blanchett;-1;undirected
nm0004937;Jamie Foxx;nm1939267;Tip 'T.I.' Harris;-1;undirected
nm0004937;Jamie Foxx;nm1092086;David Harbour;-1;undirected
nm1939267;Tip 'T.I.' Harris;nm1092086;David Harbour;-1;undirected
nm4043618;Tom Holland;nm0586568;Mads Mikkelsen;-1;undirected
nm0000168;Samuel L. Jackson;nm0829032;Ray Stevenson;-1;undirected
nm0005377;Sam Rockwell;nm0000619;Tim Roth;-1;undirected
nm0005377;Sam Rockwell;nm0000619;Tim Roth;-1;undirected
nm1002641;Dominic Cooper;nm0005024;Terrence Howard;-1;undirected
nm0000288;Christian Bale;nm0000949;Cate Blanchett;-1;undirected
nm0000288;Christian Bale;nm0000204;Natalie Portman;-1;undirected
nm0000949;Cate Blanchett;nm0000204;Natalie Portman;-1;undirected
nm0748620;Paul Rudd;nm3529685;Kumail Nanjiani;-1;undirected
nm1212722;Benedict Cumberbatch;nm0532193;Matthew Macfadyen;-1;undirected
nm4043618;Tom Holland;nm0532193;Matthew Macfadyen;-1;undirected
nm0000195;Bill Murray;nm0005024;Terrence Howard;-1;undirected
nm0000195;Bill Murray;nm0000949;Cate Blanchett;-1;undirected
nm0578853;Ben Mendelsohn;nm9584861;Dominique Thorne;-1;undirected
nm1569276;Chadwick Boseman;nm0004950;Jennifer Garner;-1;undirected
nm0424060;Scarlett Johansson;nm0488953;Brie Larson;-1;undirected
nm1935086;Tessa Thompson;nm3500582;Teyonah Parris;-1;undirected
nm0000179;Jude Law;nm0578853;Ben Mendelsohn;-1;undirected
nm0123092;Ty Burrell;nm0252961;Idris Elba;-1;undirected
nm0000353;Willem Dafoe;nm0000156;Jeff Goldblum;-1;undirected
nm0000353;Willem Dafoe;nm0000179;Jude Law;-1;undirected
nm0000353;Willem Dafoe;nm0000195;Bill Murray;-1;undirected
nm0000353;Willem Dafoe;nm0001570;Edward Norton;-1;undirected
nm0000156;Jeff Goldblum;nm0000179;Jude Law;-1;undirected
nm0000156;Jeff Goldblum;nm0000195;Bill Murray;-1;undirected
nm0000156;Jeff Goldblum;nm0001570;Edward Norton;-1;undirected
nm0000179;Jude Law;nm0000195;Bill Murray;-1;undirected
nm0000179;Jude Law;nm0001570;Edward Norton;-1;undirected
nm0000195;Bill Murray;nm0001570;Edward Norton;-1;undirected
nm1165110;Chris Hemsworth;nm3529685;Kumail Nanjiani;-1;undirected
nm1935086;Tessa Thompson;nm3529685;Kumail Nanjiani;-1;undirected
nm2394794;Karen Gillan;nm0134072;Bobby Cannavale;-1;undirected
nm1002641;Dominic Cooper;nm0000168;Samuel L. Jackson;-1;undirected
nm0293509;Martin Freeman;nm0035514;Richard Armitage;-1;undirected
nm0293509;Martin Freeman;nm0000949;Cate Blanchett;-1;undirected
nm0035514;Richard Armitage;nm0000949;Cate Blanchett;-1;undirected
nm0005023;Djimon Hounsou;nm0000164;Anthony Hopkins;-1;undirected
nm0578853;Ben Mendelsohn;nm0005351;Ryan Reynolds;-1;undirected
nm1107001;Anthony Mackie;nm1072555;Morena Baccarin;-1;undirected
nm0880081;Leslie Uggams;nm1250791;Sterling K. Brown;-1;undirected
nm0252961;Idris Elba;nm0534635;Richard Madden;-1;undirected
nm1002641;Dominic Cooper;nm0000474;Michael Keaton;-1;undirected
nm0001745;Stellan Skarsgård;nm0000353;Willem Dafoe;-1;undirected
nm0000949;Cate Blanchett;nm3229685;Kit Harington;-1;undirected
nm0695435;Chris Pratt;nm1130627;Cobie Smulders;-1;undirected
nm0000288;Christian Bale;nm0000949;Cate Blanchett;-1;undirected
nm0000288;Christian Bale;nm1212722;Benedict Cumberbatch;-1;undirected
nm0000673;Marisa Tomei;nm0005377;Sam Rockwell;-1;undirected
nm0748620;Paul Rudd;nm1130627;Cobie Smulders;-1;undirected
nm1385871;Olga Kurylenko;nm0810488;Bill Smitrovich;-1;undirected
nm0000201;Michelle Pfeiffer;nm0000169;Tommy Lee Jones;-1;undirected
nm0836121;Michael Stuhlbarg;nm0000547;Alfred Molina;-1;undirected
nm0163988;Clark Gregg;nm0005377;Sam Rockwell;-1;undirected
nm0005351;Ryan Reynolds;nm0749263;Mark Ruffalo;-1;undirected
nm0005351;Ryan Reynolds;nm0757855;Zoe Saldana;-1;undirected
nm0749263;Mark Ruffalo;nm0004950;Jennifer Garner;-1;undirected
nm0004950;Jennifer Garner;nm0757855;Zoe Saldana;-1;undirected
nm0342029;Frank Grillo;nm1107001;Anthony Mackie;-1;undirected
nm0342029;Frank Grillo;nm3500582;Teyonah Parris;-1;undirected
nm1107001;Anthony Mackie;nm3500582;Teyonah Parris;-1;undirected
